step,content_loss,style_loss,total_loss
0,0.0,47547.2578125,47547.2578125
1,1.0202652447333094e-05,47536.94140625,47536.94140625
2,450.68450927734375,24605246.0,24605696.0
3,417.6601867675781,23407556.0,23407974.0
4,335.84332275390625,19733834.0,19734170.0
5,231.2088165283203,17660244.0,17660476.0
6,72.15245056152344,3226981.75,3227054.0
7,52.15304946899414,438386.625,438438.78125
8,45.63850784301758,280323.15625,280368.78125
9,39.719451904296875,137435.5,137475.21875
10,50.742881774902344,75297.203125,75347.9453125
11,55.30408477783203,45091.39453125,45146.69921875
12,87.09445190429688,37559.6953125,37646.7890625
13,56.99366760253906,38119.3359375,38176.328125
14,66.18373107910156,29840.51171875,29906.6953125
15,79.71246337890625,25895.041015625,25974.75390625
16,76.5928955078125,22593.40234375,22669.99609375
17,78.04643249511719,18368.396484375,18446.443359375
18,86.94122314453125,14756.8544921875,14843.7958984375
19,66.70066833496094,16303.544921875,16370.2451171875
20,77.70809936523438,12552.1083984375,12629.81640625
21,89.08084106445312,11450.1904296875,11539.271484375
22,86.7591552734375,10743.95703125,10830.7158203125
23,82.6534423828125,9567.8544921875,9650.5078125
24,86.20379638671875,8617.515625,8703.7197265625
25,88.27467346191406,7646.21630859375,7734.4912109375
26,84.40873718261719,6741.35595703125,6825.7646484375
27,92.89820861816406,5894.76416015625,5987.66259765625
28,89.29228210449219,5609.982421875,5699.27490234375
29,89.473388671875,5382.56005859375,5472.033203125
30,90.7562255859375,4801.2705078125,4892.02685546875
31,96.15335083007812,4303.11181640625,4399.26513671875
32,88.09489440917969,4394.07470703125,4482.16943359375
33,92.03744506835938,3868.859619140625,3960.89697265625
34,93.20231628417969,3704.920166015625,3798.12255859375
35,92.49028015136719,3415.562744140625,3508.052978515625
36,95.2735595703125,3119.87109375,3215.14453125
37,92.11557006835938,3014.179931640625,3106.29541015625
38,94.31763458251953,2780.162841796875,2874.48046875
39,94.88896179199219,2601.962646484375,2696.8515625
40,95.62104797363281,2404.94482421875,2500.56591796875
41,96.34698486328125,2286.15283203125,2382.499755859375
42,97.8954086303711,2125.09521484375,2222.99072265625
43,93.47510528564453,2211.223876953125,2304.698974609375
44,97.36975860595703,1984.375244140625,2081.7451171875
45,98.00482177734375,1932.9697265625,2030.974609375
46,97.11405944824219,1866.611572265625,1963.7255859375
47,98.84329223632812,1796.4234619140625,1895.2667236328125
48,99.0611572265625,1739.3880615234375,1838.44921875
49,96.93467712402344,1694.55908203125,1791.4937744140625
50,100.75482940673828,1523.8018798828125,1624.5567626953125
51,100.61453247070312,1488.9361572265625,1589.5506591796875
52,100.30943298339844,1456.0765380859375,1556.385986328125
53,101.85041046142578,1408.7425537109375,1510.593017578125
54,102.01866149902344,1361.940673828125,1463.9593505859375
55,100.38506317138672,1291.461181640625,1391.84619140625
56,102.26828002929688,1224.8707275390625,1327.1390380859375
57,101.85122680664062,1196.2354736328125,1298.086669921875
