step,content_loss,style_loss,total_loss
0,0.0,47547.2578125,47547.2578125
1,1.0202652447333094e-05,47536.94140625,47536.94140625
2,450.68597412109375,24605246.0,24605696.0
3,417.66339111328125,23407576.0,23407994.0
4,335.83673095703125,19733002.0,19733338.0
5,231.23977661132812,17660350.0,17660582.0
6,72.62516021728516,3225002.25,3225075.0
7,52.093505859375,439111.09375,439163.1875
8,45.59621047973633,280379.53125,280425.125
9,39.88248825073242,137430.9375,137470.8125
10,51.256858825683594,75304.6015625,75355.859375
11,53.991783142089844,45319.984375,45373.9765625
12,88.46038818359375,39449.65625,39538.1171875
13,58.87602615356445,37884.109375,37942.984375
14,66.686767578125,30507.626953125,30574.314453125
15,77.92298126220703,26409.947265625,26487.87109375
16,75.12141418457031,22501.603515625,22576.724609375
17,79.05978393554688,18042.109375,18121.169921875
18,83.50237274169922,13877.5107421875,13961.0126953125
19,72.43182373046875,13079.572265625,13152.00390625
20,86.11359405517578,10164.068359375,10250.181640625
21,86.40251159667969,9648.8095703125,9735.2119140625
22,84.87037658691406,8420.6376953125,8505.5078125
23,92.17035675048828,7557.92333984375,7650.09375
24,84.62527465820312,7240.201171875,7324.82666015625
25,88.27278900146484,6666.9658203125,6755.23876953125
26,89.85895538330078,6125.228515625,6215.08740234375
27,87.72997283935547,5414.28173828125,5502.01171875
28,93.61447143554688,4965.80908203125,5059.42333984375
29,90.46479797363281,4713.63525390625,4804.10009765625
30,90.03340148925781,4441.775390625,4531.80859375
31,90.74995422363281,3974.630126953125,4065.380126953125
32,95.24242401123047,3561.49755859375,3656.739990234375
33,88.34494018554688,3781.3837890625,3869.728759765625
34,92.81095886230469,3324.420166015625,3417.231201171875
35,94.40826416015625,3208.685791015625,3303.093994140625
36,95.17892456054688,2962.552001953125,3057.73095703125
37,91.30567932128906,2884.80322265625,2976.10888671875
38,97.47434997558594,2552.10595703125,2649.580322265625
39,96.77278137207031,2481.431396484375,2578.2041015625
40,95.56986999511719,2369.803466796875,2465.373291015625
41,96.35550689697266,2273.185791015625,2369.541259765625
42,96.99436950683594,2076.236572265625,2173.23095703125
43,101.14178466796875,2025.051025390625,2126.19287109375
44,96.31915283203125,2002.7843017578125,2099.103515625
45,98.26432800292969,1890.5858154296875,1988.85009765625
46,99.40633392333984,1832.2034912109375,1931.60986328125
47,99.97509765625,1694.8892822265625,1794.8643798828125
48,99.92153930664062,1567.8916015625,1667.8131103515625
49,102.57283020019531,1501.583984375,1604.1568603515625
50,99.72410583496094,1467.3900146484375,1567.1141357421875
51,100.5266342163086,1430.9139404296875,1531.4405517578125
52,101.37139129638672,1387.26953125,1488.640869140625
53,101.34228515625,1300.3084716796875,1401.6507568359375
54,103.30691528320312,1238.777587890625,1342.08447265625
55,102.55610656738281,1208.1104736328125,1310.6666259765625
56,102.33392333984375,1180.4239501953125,1282.7578125
57,102.91920471191406,1126.0330810546875,1228.9522705078125
