step,content_loss,style_loss,total_loss
0,0.0,2157.82666015625,2157.82666015625
1,1.0219659088761546e-05,2157.60595703125,2157.60595703125
2,55.871543884277344,4949.1171875,5004.98876953125
3,70.19961547851562,2053.0546875,2123.25439453125
4,110.20838928222656,1093.196533203125,1203.4049072265625
5,46.72810363769531,1200.7200927734375,1247.4482421875
6,79.14912414550781,647.8375854492188,726.9866943359375
7,106.06542205810547,529.7376708984375,635.8031005859375
8,89.47614288330078,437.1449279785156,526.62109375
9,81.66241455078125,385.90966796875,467.57208251953125
10,76.90319061279297,314.04498291015625,390.94818115234375
11,80.13063049316406,245.8904266357422,326.02105712890625
12,73.3561019897461,215.40884399414062,288.76495361328125
13,73.8603515625,177.52777099609375,251.38812255859375
14,64.2314453125,175.9129638671875,240.1444091796875
15,67.35079956054688,153.71702575683594,221.0678253173828
16,67.57969665527344,142.0284423828125,209.60813903808594
17,64.28607177734375,130.2154083251953,194.50148010253906
18,61.1702995300293,115.95540618896484,177.12570190429688
19,58.65896224975586,102.50626373291016,161.16522216796875
20,53.21186828613281,102.8470230102539,156.05889892578125
21,56.58064651489258,93.8046875,150.3853302001953
22,55.12031555175781,88.49202728271484,143.61233520507812
23,53.90685272216797,87.10887145996094,141.01571655273438
24,52.71665954589844,84.83440399169922,137.55105590820312
25,51.06590270996094,80.44017791748047,131.50607299804688
26,50.03301239013672,74.53362274169922,124.56663513183594
27,48.60597229003906,71.90245056152344,120.5084228515625
28,48.040008544921875,67.70330810546875,115.74331665039062
29,45.095943450927734,71.38584899902344,116.48179626464844
30,46.28589630126953,65.27300262451172,111.55889892578125
31,46.321044921875,63.75770568847656,110.07875061035156
32,45.75674819946289,61.73851013183594,107.49525451660156
33,43.815162658691406,60.350914001464844,104.16607666015625
34,44.649635314941406,57.137176513671875,101.78681182861328
35,43.94382095336914,56.689537048339844,100.63336181640625
36,43.10636901855469,56.490806579589844,99.59717559814453
37,42.645381927490234,55.69337844848633,98.33876037597656
38,42.022823333740234,53.8463134765625,95.869140625
39,42.061912536621094,51.51836013793945,93.58027648925781
40,41.10124206542969,51.66050338745117,92.76174926757812
41,40.968894958496094,50.86329650878906,91.83219146728516
42,40.45872116088867,49.7464714050293,90.20519256591797
43,40.144832611083984,47.9238395690918,88.06867218017578
44,39.264442443847656,47.826045989990234,87.09048461914062
45,39.135047912597656,46.104820251464844,85.2398681640625
46,38.76923370361328,45.676273345947266,84.44551086425781
47,38.54695129394531,44.8596076965332,83.40655517578125
48,37.92103576660156,44.208030700683594,82.12906646728516
49,38.2332763671875,43.02056884765625,81.25384521484375
50,37.76225280761719,42.716182708740234,80.47843933105469
51,37.49186325073242,42.535606384277344,80.0274658203125
52,37.151546478271484,42.23996353149414,79.39151000976562
53,36.912078857421875,41.460391998291016,78.37246704101562
54,36.715728759765625,40.535362243652344,77.25109100341797
55,36.0932731628418,40.55751419067383,76.65078735351562
56,35.96791076660156,39.89665222167969,75.86456298828125
57,35.832950592041016,39.39350891113281,75.22645568847656
58,35.50172805786133,38.694114685058594,74.19584655761719
59,35.48350524902344,37.779483795166016,73.26298522949219
60,34.809261322021484,37.750064849853516,72.559326171875
61,34.92864227294922,37.27255630493164,72.20120239257812
62,34.66992950439453,37.211612701416016,71.88154602050781
63,34.57637023925781,36.96802520751953,71.54439544677734
64,34.383270263671875,36.504737854003906,70.88800811767578
65,34.00535583496094,36.2117919921875,70.21714782714844
66,33.93096160888672,35.51740646362305,69.4483642578125
67,33.40138244628906,35.60036849975586,69.00175476074219
68,33.37635040283203,35.03643035888672,68.41278076171875
69,33.419921875,34.59273910522461,68.01266479492188
70,33.393272399902344,34.149574279785156,67.5428466796875
71,32.699249267578125,34.78879165649414,67.488037109375
72,32.84535598754883,33.92814254760742,66.77349853515625
73,32.82444381713867,33.70752716064453,66.53196716308594
74,32.70848846435547,33.38456344604492,66.09304809570312
75,32.26341247558594,33.27484893798828,65.53826141357422
76,32.30536651611328,32.80815124511719,65.11351776123047
77,32.22252655029297,32.54289627075195,64.76542663574219
78,32.20022201538086,32.01897430419922,64.21919250488281
79,31.681133270263672,32.49449920654297,64.17562866210938
80,31.810710906982422,31.92031478881836,63.73102569580078
81,31.756664276123047,31.708805084228516,63.46546936035156
82,31.651992797851562,31.567684173583984,63.21967697143555
83,31.345720291137695,31.454795837402344,62.800514221191406
84,31.410083770751953,31.055919647216797,62.46600341796875
85,31.28466033935547,30.973979949951172,62.25864028930664
86,31.161712646484375,30.84385108947754,62.00556182861328
87,31.211265563964844,30.55030059814453,61.761566162109375
88,31.128334045410156,30.3065128326416,61.434844970703125
89,30.86664581298828,30.10004234313965,60.96669006347656
90,30.747989654541016,29.84565544128418,60.59364318847656
91,30.515491485595703,29.79106903076172,60.30656051635742
92,30.48736000061035,29.607898712158203,60.09526062011719
93,30.277755737304688,29.692270278930664,59.97002410888672
94,30.526329040527344,29.181074142456055,59.70740509033203
95,30.400747299194336,29.10340690612793,59.504154205322266
96,30.205543518066406,29.14790153503418,59.35344696044922
97,30.166641235351562,29.063779830932617,59.23042297363281
98,30.061620712280273,28.84105110168457,58.902671813964844
99,30.149276733398438,28.493255615234375,58.64253234863281
100,29.960205078125,28.462474822998047,58.42267990112305
101,29.758544921875,28.50738525390625,58.26593017578125
102,29.736175537109375,28.39870834350586,58.134883880615234
103,29.66244125366211,28.278627395629883,57.941070556640625
104,29.727432250976562,27.930051803588867,57.65748596191406
