step,content_loss,style_loss,total_loss
0,0.0,2157.82666015625,2157.82666015625
1,1.0219659088761546e-05,2157.60595703125,2157.60595703125
2,55.871665954589844,4949.1181640625,5004.98974609375
3,70.20977020263672,2053.08447265625,2123.294189453125
4,110.18670654296875,1093.1793212890625,1203.365966796875
5,46.84587478637695,1198.754638671875,1245.6004638671875
6,79.1791763305664,646.8764038085938,726.0556030273438
7,105.83843994140625,529.07763671875,634.9160766601562
8,89.21514892578125,436.7449645996094,525.9600830078125
9,81.4578628540039,385.3845520019531,466.8424072265625
10,76.98968505859375,313.016845703125,390.00653076171875
11,80.03523254394531,245.29661560058594,325.33184814453125
12,73.14202880859375,214.27647399902344,287.41851806640625
13,73.83534240722656,176.5388946533203,250.37423706054688
14,64.23548126220703,175.4832305908203,239.71871948242188
15,67.23108673095703,153.83457946777344,221.065673828125
16,67.39752960205078,142.02879333496094,209.42633056640625
17,64.18860626220703,130.19903564453125,194.38763427734375
18,60.31733703613281,116.46637725830078,176.78372192382812
19,60.78495788574219,105.06886291503906,165.85382080078125
20,53.76089859008789,120.35021209716797,174.11111450195312
21,56.86807632446289,99.52162170410156,156.3896942138672
22,56.513038635253906,96.57141876220703,153.08445739746094
23,53.617042541503906,89.66017150878906,143.2772216796875
24,53.773841857910156,82.61805725097656,136.39190673828125
25,51.47690200805664,82.10908508300781,133.5859832763672
26,50.69219207763672,78.65531921386719,129.34750366210938
27,48.98460388183594,73.92613220214844,122.91073608398438
28,49.40859603881836,69.12027740478516,118.52886962890625
29,46.77848434448242,71.88289642333984,118.661376953125
30,47.35198974609375,67.56659698486328,114.91858673095703
31,47.02892303466797,66.10704803466797,113.13597106933594
32,45.52770233154297,63.71599197387695,109.24369812011719
33,45.26337814331055,60.84745407104492,106.11083221435547
34,44.35015106201172,59.24952697753906,103.59967803955078
35,43.806495666503906,56.28304672241211,100.08953857421875
36,41.838050842285156,59.05874252319336,100.89678955078125
37,42.736610412597656,54.820770263671875,97.55738067626953
38,42.72521209716797,53.776451110839844,96.50166320800781
39,42.19280242919922,52.97706604003906,95.16986846923828
40,41.64960861206055,51.378822326660156,93.02842712402344
41,40.56257247924805,50.23844528198242,90.80101776123047
42,40.418216705322266,48.44010925292969,88.85832214355469
43,39.301021575927734,50.37594223022461,89.67696380615234
44,39.790931701660156,48.10151672363281,87.89244842529297
45,39.79758071899414,47.52639389038086,87.323974609375
46,39.48335647583008,46.270694732666016,85.7540512084961
47,38.17037582397461,45.861488342285156,84.0318603515625
48,38.549705505371094,44.31517028808594,82.86487579345703
49,38.253082275390625,44.08455276489258,82.33763122558594
50,37.983768463134766,43.72636795043945,81.71013641357422
51,37.81060028076172,43.19045639038086,81.00105285644531
52,37.25337219238281,42.455787658691406,79.70915985107422
53,37.62145233154297,41.14370346069336,78.76515197753906
54,36.938682556152344,41.2755012512207,78.21418762207031
55,36.62248611450195,41.06840515136719,77.69088745117188
56,36.09828186035156,40.69878387451172,76.79706573486328
57,36.10413360595703,39.74940490722656,75.8535385131836
58,35.93482971191406,39.358680725097656,75.29351043701172
59,35.68700408935547,38.91496276855469,74.60196685791016
60,35.60312271118164,38.16999435424805,73.77311706542969
61,35.050865173339844,38.205379486083984,73.25624084472656
62,34.80165100097656,37.89506912231445,72.69671630859375
63,34.75246047973633,37.1796875,71.93214416503906
64,34.574562072753906,36.624393463134766,71.19895935058594
65,34.16327667236328,36.55506896972656,70.71834564208984
66,34.01122283935547,36.2149543762207,70.22618103027344
67,33.979576110839844,35.640071868896484,69.61964416503906
68,33.65488815307617,35.37850570678711,69.03339385986328
69,33.72380065917969,34.637718200683594,68.36151885986328
70,33.326698303222656,34.66847229003906,67.99517059326172
71,33.04307174682617,34.5939826965332,67.63705444335938
72,33.12248229980469,34.024017333984375,67.14649963378906
73,33.08586883544922,33.5289306640625,66.61479949951172
74,32.703487396240234,33.565914154052734,66.26940155029297
75,32.62919616699219,33.42366027832031,66.0528564453125
76,32.62456512451172,32.997772216796875,65.6223373413086
77,32.49977111816406,32.79054260253906,65.29031372070312
78,32.20768737792969,32.521026611328125,64.72871398925781
79,32.30705261230469,32.069393157958984,64.37644958496094
80,32.08045959472656,32.04566955566406,64.12612915039062
81,31.858375549316406,32.0228157043457,63.88119125366211
82,31.73533821105957,31.89805030822754,63.63338851928711
83,31.718502044677734,31.50819969177246,63.22669982910156
84,31.597076416015625,31.193532943725586,62.790611267089844
85,31.277252197265625,31.27106475830078,62.548316955566406
86,31.386688232421875,30.738676071166992,62.1253662109375
87,31.270015716552734,30.67694091796875,61.946956634521484
88,31.164091110229492,30.552562713623047,61.716651916503906
89,30.992212295532227,30.39992904663086,61.39214324951172
90,31.035959243774414,30.09885597229004,61.13481521606445
91,30.935298919677734,29.86874008178711,60.804039001464844
92,30.54845428466797,29.887941360473633,60.43639373779297
93,30.588951110839844,29.59681510925293,60.185768127441406
94,30.570842742919922,29.457378387451172,60.028221130371094
95,30.38287353515625,29.343103408813477,59.725975036621094
96,30.60114860534668,28.894737243652344,59.495887756347656
97,30.423912048339844,28.88570785522461,59.30961990356445
98,30.106210708618164,29.01597785949707,59.122188568115234
99,30.062997817993164,28.91407585144043,58.977073669433594
100,30.073076248168945,28.624242782592773,58.69731903076172
101,29.997032165527344,28.424453735351562,58.421485900878906
102,29.869930267333984,28.253637313842773,58.123565673828125
103,29.837095260620117,28.034393310546875,57.871490478515625
