step,content_loss,style_loss,total_loss
0,0.0,7065.7509765625,7065.7509765625
1,9.409101949131582e-06,7062.7890625,7062.7890625
2,441.1177978515625,20882580.0,20883022.0
3,348.5100402832031,13837591.0,13837940.0
4,176.6973876953125,7514955.0,7515131.5
5,48.83601379394531,1164178.75,1164227.625
6,49.40675735473633,206710.046875,206759.453125
7,40.35602569580078,124391.1875,124431.546875
8,33.611610412597656,51210.09375,51243.70703125
9,36.03929138183594,24411.30859375,24447.34765625
10,28.500707626342773,13221.6123046875,13250.11328125
11,49.61473846435547,10884.28515625,10933.8994140625
12,32.4237060546875,9817.3193359375,9849.7431640625
13,33.859031677246094,7382.337890625,7416.19677734375
14,37.885658264160156,6149.97265625,6187.8583984375
15,35.14955139160156,5287.8134765625,5322.962890625
16,35.77572250366211,4490.56201171875,4526.337890625
17,40.28656768798828,3192.20458984375,3232.4912109375
18,31.410531997680664,3405.9052734375,3437.31591796875
19,35.789894104003906,2406.45947265625,2442.249267578125
20,43.089515686035156,2280.119140625,2323.208740234375
21,39.57670593261719,2001.9193115234375,2041.4959716796875
22,39.44977569580078,1942.2918701171875,1981.74169921875
23,38.94694519042969,1670.213623046875,1709.1605224609375
24,42.10570526123047,1431.953369140625,1474.05908203125
25,39.73639678955078,1289.353271484375,1329.0897216796875
26,39.4783821105957,1212.9794921875,1252.4578857421875
27,40.593406677246094,1094.6749267578125,1135.268310546875
28,38.58163833618164,1056.202880859375,1094.7845458984375
29,39.581886291503906,977.7681274414062,1017.3500366210938
30,39.98645782470703,917.0615844726562,957.0480346679688
31,38.856834411621094,810.2495727539062,849.1063842773438
32,40.668697357177734,726.8162231445312,767.4849243164062
33,40.032615661621094,680.9944458007812,721.0270385742188
34,39.483909606933594,640.5778198242188,680.0617065429688
35,40.041568756103516,604.1812133789062,644.2227783203125
36,39.13716125488281,590.8284301757812,629.965576171875
37,39.130638122558594,570.2879028320312,609.4185180664062
38,39.132537841796875,538.6583862304688,577.7908935546875
39,37.83686065673828,517.7354736328125,555.5723266601562
40,38.802345275878906,471.58966064453125,510.3919982910156
41,38.626564025878906,448.5162353515625,487.1427917480469
42,37.92417907714844,412.9209289550781,450.8450927734375
43,39.74618911743164,403.567138671875,443.3133239746094
44,38.631866455078125,374.8915100097656,413.52337646484375
45,38.3530387878418,371.0161437988281,409.3691711425781
46,38.099822998046875,365.2550048828125,403.3548278808594
47,37.88291931152344,356.2762756347656,394.1591796875
48,37.846046447753906,340.61505126953125,378.4610900878906
49,37.424598693847656,335.4195861816406,372.84417724609375
50,37.34974670410156,322.8118896484375,360.16162109375
51,37.11273193359375,308.1869201660156,345.2996520996094
52,36.017608642578125,294.9718017578125,330.9894104003906
53,36.46784973144531,281.9464111328125,318.41424560546875
54,36.090293884277344,277.71038818359375,313.8006896972656
55,36.02925109863281,270.7199401855469,306.74920654296875
56,35.8111686706543,259.9997863769531,295.8109436035156
57,35.784393310546875,253.7928466796875,289.5772399902344
58,35.706687927246094,249.69607543945312,285.40277099609375
59,35.35076141357422,242.89035034179688,278.2411193847656
60,34.48985290527344,247.42527770996094,281.9151306152344
61,34.957916259765625,234.60305786132812,269.56097412109375
62,34.71642303466797,231.60499572753906,266.3214111328125
63,33.75312423706055,225.1284637451172,258.881591796875
64,33.67719268798828,219.91986083984375,253.5970458984375
65,33.328731536865234,215.5783233642578,248.9070587158203
66,33.279052734375,210.94741821289062,244.22647094726562
67,32.7376823425293,207.3854522705078,240.12313842773438
68,32.96580505371094,199.7493896484375,232.71519470214844
69,32.71161651611328,197.30172729492188,230.01333618164062
70,32.441810607910156,195.19161987304688,227.6334228515625
71,32.26895523071289,191.9062042236328,224.17515563964844
72,32.010467529296875,188.2753448486328,220.2858123779297
73,31.88663673400879,186.67625427246094,218.56289672851562
74,31.561452865600586,185.3261260986328,216.8875732421875
